2013,Stealing from person,,,Steal from motor vehicle,,,Robbery,,,Assault -non-domestic violence,,,Assault - domestic violence,,,Sexual offences,,
,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank,Total,"Rate per 100,000 population",Rank
Albury, 30 , 60.4 , 44 , 670 ," 1,349.6 ", 6 , 12 , 24.2 , 72 , 394 , 793.6 , 17 , 277 , 558.0 , 36 , 108 , 217.5 , 42 
Armidale Dumaresq, 14 , 55.2 , 51 , 364 ," 1,434.3 ", 5 , 9 , 35.5 , 45 , 205 , 807.8 , 15 , 165 , 650.1 , 23 , 59 , 232.5 , 34 
Ashfield, 27 , 61.7 , 42 , 222 , 507.0 , 76 , 24 , 54.8 , 24 , 117 , 267.2 , 107 , 108 , 246.7 , 107 , 41 , 93.6 , 118 
Auburn, 137 , 169.4 , 3 , 512 , 632.9 , 52 , 130 , 160.7 , 1 , 398 , 492.0 , 61 , 362 , 447.5 , 55 , 84 , 103.8 , 110 
Ballina, 14 , 34.2 , 78 , 261 , 636.7 , 50 , 5 , 12.2 , 101 , 187 , 456.2 , 66 , 136 , 331.8 , 87 , 78 , 190.3 , 53 
Balranald, - , nc , nc , 14 , nc , nc , 1 , nc , nc , 21 ,  nc  ,  nc  , 11 , nc , nc , 13 , nc , nc 
Bankstown, 89 , 46.1 , 63 ," 1,248 ", 646.3 , 47 , 123 , 63.7 , 20 , 587 , 304.0 , 101 , 888 , 459.9 , 51 , 225 , 116.5 , 106 
Bathurst Regional, 33 , 82.1 , 26 , 297 , 738.6 , 35 , 15 , 37.3 , 42 , 284 , 706.3 , 25 , 194 , 482.5 , 45 , 72 , 179.1 , 64 
Bega Valley, 10 , 30.2 , 81 , 100 , 302.0 , 118 , 3 , 9.1 , 107 , 164 , 495.3 , 60 , 102 , 308.0 , 93 , 45 , 135.9 , 90 
Bellingen, 4 , 31.3 , 79 , 54 , 422.7 , 93 , 2 , 15.7 , 96 , 45 , 352.3 , 87 , 25 , 195.7 , 118 , 18 , 140.9 , 88 
Berrigan, - , - , nc , 21 , 252.5 , 122 , - , - , nc , 20 , 240.4 , 115 , 23 , 276.5 , 98 , 11 , 132.2 , 92 
Blacktown, 387 , 121.9 , 13 ," 2,304 ", 725.5 , 36 , 366 , 115.2 , 5 ," 1,752 ", 551.7 , 49 ," 1,858 ", 585.1 , 32 , 509 , 160.3 , 74 
Bland, 1 , 16.5 , 100 , 11 , 181.8 , 132 , 1 , 16.5 , 91 , 27 , 446.4 , 71 , 26 , 429.8 , 59 , 20 , 330.6 , 14 
Blayney, - , - , nc , 31 , 428.1 , 90 , - , - , nc , 24 , 331.4 , 94 , 20 , 276.2 , 99 , 16 , 221.0 , 41 
Blue Mountains, 35 , 44.6 , 64 , 281 , 358.0 , 107 , 25 , 31.9 , 53 , 260 , 331.3 , 95 , 242 , 308.3 , 92 , 117 , 149.1 , 81 
Bogan, - , - , nc , 27 , 889.3 , 19 , 1 , 32.9 , 50 , 29 , 955.2 , 7 , 23 , 757.6 , 13 , 13 , 428.2 , 7 
Bombala, - , nc , nc , 9 , nc , nc , - , nc , nc , 6 ,  nc  ,  nc  , 8 , nc , nc , 9 , nc , nc 
Boorowa, - , nc , nc , 3 , nc , nc , - , nc , nc , 9 ,  nc  ,  nc  , 8 , nc , nc , 4 , nc , nc 
Botany Bay, 46 , 108.3 , 16 , 209 , 492.1 , 78 , 33 , 77.7 , 15 , 142 , 334.4 , 93 , 103 , 242.5 , 108 , 38 , 89.5 , 119 
Bourke, 8 , 261.6 , 2 , 68 ," 2,223.7 ", 1 , 1 , 32.7 , 51 , 72 ," 2,354.5 ", 1 , 138 ," 4,512.8 ", 1 , 33 ," 1,079.1 ", 1 
Brewarrina, - , nc , nc , 18 , nc , nc , 1 , nc , nc , 42 ,  nc  ,  nc  , 104 , nc , nc , 9 , nc , nc 
Broken Hill, 5 , 26.2 , 89 , 180 , 944.0 , 12 , 6 , 31.5 , 56 , 163 , 854.9 , 11 , 170 , 891.6 , 6 , 35 , 183.6 , 60 
Burwood, 56 , 161.0 , 6 , 201 , 577.9 , 64 , 50 , 143.8 , 2 , 125 , 359.4 , 86 , 74 , 212.8 , 114 , 40 , 115.0 , 108 
Byron, 86 , 276.9 , 1 , 235 , 756.6 , 31 , 11 , 35.4 , 46 , 314 ," 1,011.0 ", 5 , 117 , 376.7 , 74 , 90 , 289.8 , 18 
Cabonne, 4 , 29.7 , 83 , 78 , 579.9 , 63 , 1 , 7.4 , 109 , 42 , 312.2 , 99 , 42 , 312.2 , 91 , 59 , 438.6 , 5 
Camden, 4 , 6.6 , 114 , 313 , 517.8 , 73 , 19 , 31.4 , 57 , 125 , 206.8 , 127 , 156 , 258.1 , 104 , 74 , 122.4 , 102 
Campbelltown, 108 , 70.8 , 33 ," 1,035 ", 678.3 , 41 , 104 , 68.2 , 17 , 877 , 574.8 , 46 , 960 , 629.2 , 25 , 261 , 171.1 , 68 
