Postcode, Households, Children / Family, Motor Vehicles / Dwelling, People / Household, Families, Female, Male, Median Age,  Median monthly mortgage ,  Median weekly household income ,  Median weekly rent , People
2129, , , , , , , , ,   ,   ,   , 
2139,0,0,25,0,0,20,35,42, $-   ," $5,000.00 ", $330.00 ,55
2401,155,1.9,2.9,2.5,94,155,167,40," $1,615.00 ", $700.00 , $-   ,322
2556,737,2.1,2.8,3.4,616,1150,1237,37," $2,510.00 "," $1,547.00 ", $340.00 ,2387
2748,586,2.1,2.7,3.4,495,931,981,40," $3,250.00 "," $1,519.00 ", $323.00 ,1912
2178,1528,2.1,2.6,3.3,1275,2382,2441,35," $2,500.00 "," $1,503.00 ", $350.00 ,4823
2557,1210,2.2,2.6,3.4,1009,1946,2056,37," $2,329.00 "," $1,359.00 ", $335.00 ,4002
2618,526,1.9,2.6,2.9,394,707,682,41," $2,000.00 "," $2,125.00 ", $300.00 ,1389
5440,344,1.9,2.6,2.1,106,205,287,47, $303.00 , $918.00 , $33.00 ,492
2649,10,0,2.5,2,3,6,6,26," $2,600.00 ", $900.00 , $-   ,12
3586,320,2.1,2.5,2.8,207,363,388,39," $1,452.00 ", $951.00 , $150.00 ,751
2156,4132,2,2.5,3.2,3463,6173,6175,41," $2,800.00 "," $2,210.00 ", $415.00 ,12348
2721,185,1.8,2.5,2.6,113,175,175,46, $303.00 , $805.00 , $68.00 ,350
2569,451,2,2.4,3.1,359,606,667,36," $2,000.00 "," $1,663.00 ", $250.00 ,1273
3691,3018,2,2.4,2.8,2240,4056,4340,37," $1,649.00 "," $1,407.00 ", $203.00 ,8396
2175,596,2.1,2.4,3.3,465,927,1009,39," $3,000.00 "," $1,353.00 ", $277.00 ,1936
2157,1248,2.1,2.4,3.1,1012,1861,1850,40," $2,500.00 "," $1,570.00 ", $263.00 ,3711
2758,3129,2,2.4,3,2305,4253,4275,40," $2,200.00 "," $1,705.00 ", $295.00 ,8528
2397,194,2.1,2.4,2.4,111,193,215,41, $433.00 ," $1,105.00 ", $100.00 ,408
2727,295,2.4,2.4,2.6,157,256,313,43," $1,170.00 ", $989.00 , $-   ,569
2172,682,2,2.3,3.4,618,1096,1165,34," $2,600.00 "," $2,472.00 ", $400.00 ,2261
2278,925,2,2.3,3,747,1330,1355,34," $1,664.00 "," $1,391.00 ", $280.00 ,2685
2752,1603,2.1,2.3,3.1,1260,2300,2376,35," $2,000.00 "," $1,542.00 ", $300.00 ,4676
2234,9783,2,2.3,3.2,8607,15542,15284,37," $2,383.00 "," $2,191.00 ", $440.00 ,30826
2174,167,2.1,2.3,2.9,107,205,219,38, $-   ," $1,205.00 ", $300.00 ,424
2621,2017,1.9,2.3,2.9,1518,2686,2683,39," $2,252.00 "," $2,185.00 ", $350.00 ,5369
2179,1834,2.1,2.3,3,1320,2649,2755,40," $2,000.00 "," $1,119.00 ", $300.00 ,5404
2084,1218,2,2.3,3.1,962,1752,1782,41," $2,950.00 "," $1,953.00 ", $500.00 ,3534
2399,396,2,2.3,2.6,243,415,461,41, $867.00 , $952.00 , $100.00 ,876
2158,2864,2,2.3,3,2263,4271,4018,42," $2,775.00 "," $2,010.00 ", $421.00 ,8289
2159,1669,2,2.3,2.9,1237,2327,2223,42," $2,513.00 "," $1,679.00 ", $300.00 ,4550
2344,312,1.9,2.3,2.6,199,363,373,42," $1,517.00 "," $1,262.00 ", $180.00 ,736
2864,479,2,2.3,2.7,334,575,573,42," $1,400.00 "," $1,241.00 ", $155.00 ,1148
2669,957,2.2,2.3,2.6,544,960,1040,42, $433.00 , $822.00 , $22.00 ,2000
2421,628,2,2.3,2.7,429,736,784,43," $1,777.00 "," $1,308.00 ", $155.00 ,1520
2809,172,2,2.3,2.6,87,145,175,43," $1,387.00 ", $717.00 , $50.00 ,320
2735,292,2.2,2.3,2.8,182,307,344,43, $960.00 , $942.00 , $125.00 ,651
2726,182,2.3,2.3,2.5,89,149,155,44," $1,603.00 ", $985.00 , $-   ,304
2415,155,1.8,2.3,2.4,79,138,142,46," $1,940.00 ", $890.00 , $170.00 ,280
2563,79,1.9,2.3,2.9,67,117,124,46," $1,842.00 "," $1,031.00 ", $360.00 ,241
2846,270,1.9,2.3,2.1,95,171,201,48," $1,153.00 ", $684.00 , $100.00 ,372
2803,174,1.9,2.3,2.2,90,145,158,51, $800.00 , $726.00 , $-   ,303
2171,6950,2.1,2.2,3.6,6453,12293,12099,31," $2,383.00 "," $1,783.00 ", $410.00 ,24392
2619,3217,2,2.2,3.1,2628,4762,4658,34," $2,400.00 "," $2,691.00 ", $365.00 ,9420
2555,144,2.2,2.2,3.5,103,214,241,34," $1,733.00 "," $1,148.00 ", $320.00 ,455
2408,251,2,2.2,2.6,112,185,238,34, $433.00 ," $1,093.00 ", $-   ,423
2335,2093,2,2.2,2.8,1541,2713,2716,35," $1,800.00 "," $1,644.00 ", $310.00 ,5429
2570,10283,2,2.2,2.9,7802,14516,13828,37," $2,200.00 "," $1,635.00 ", $320.00 ,28344
2571,3695,2,2.2,2.9,2793,5017,5124,37," $2,167.00 "," $1,531.00 ", $250.00 ,10141
2765,5169,2,2.2,2.9,3827,7125,7716,37," $2,167.00 "," $1,310.00 ", $300.00 ,14841
2574,2018,2,2.2,2.9,1487,2712,2708,37," $2,000.00 "," $1,271.00 ", $265.00 ,5420
2572,1446,1.9,2.2,2.8,1048,2015,1926,38," $2,058.00 "," $1,402.00 ", $270.00 ,3941
2798,906,2,2.2,2.7,642,1163,1220,38," $1,733.00 "," $1,485.00 ", $200.00 ,2383
2405,265,1.8,2.2,2.5,141,240,311,38, $450.00 ," $1,014.00 ", $-   ,551
2321,4214,1.9,2.2,2.8,3171,5499,5425,39," $1,950.00 "," $1,451.00 ", $290.00 ,10924
2865,351,2.2,2.2,2.4,193,375,353,39," $1,300.00 ", $949.00 , $103.00 ,728
2345,325,2,2.2,2.5,225,372,397,40," $1,200.00 "," $1,048.00 ", $150.00 ,769
2707,699,2.1,2.2,2.6,357,614,697,40," $1,083.00 ", $935.00 , $125.00 ,1311
2386,211,2.2,2.2,2.3,77,127,173,40, $433.00 , $838.00 , $-   ,300
2125,5339,1.9,2.2,3.1,4551,8155,7813,41," $2,611.00 "," $2,449.00 ", $480.00 ,15968
2642,2234,2.1,2.2,2.7,1373,2437,2564,41," $1,300.00 "," $1,037.00 ", $120.00 ,5001
2757,322,2,2.2,2.7,248,419,458,42," $1,800.00 "," $1,585.00 ", $170.00 ,877
2652,2222,2.1,2.2,2.6,1378,2368,2483,42," $1,164.00 ", $978.00 , $105.00 ,4851
2581,980,1.9,2.2,2.5,570,992,1005,43," $1,660.00 "," $1,234.00 ", $180.00 ,1997
2353,395,1.7,2.2,2.6,292,495,504,45," $1,517.00 "," $1,048.00 ", $180.00 ,999
2806,444,2,2.2,2.3,250,445,469,47," $1,000.00 ", $774.00 , $92.00 ,914
2745,8560,2,2.1,3.2,7221,13335,12897,32," $2,200.00 "," $1,856.00 ", $350.00 ,26232
2759,8424,1.9,2.1,3.2,7380,13278,13222,32," $2,000.00 "," $1,716.00 ", $340.00 ,26500
2155,13412,2,2.1,3.4,11924,22047,21981,33," $2,700.00 "," $2,307.00 ", $510.00 ,44028
2756,11856,1.9,2.1,2.9,8734,16168,16128,34," $2,000.00 "," $1,401.00 ", $280.00 ,32296
