Financial Year,Offence Month,Inf No,Face Value,Infringement Type,Offence Description,Location Details
2004/05,Oct,426,96276,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PENNANT HILLS ROAD(11) CARLINGFORD SOUTHBOUND
2004/05,Dec,89,20114,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),BROADWAY(35) ULTIMO WESTBOUND
2004/05,Jul,158,35708,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),ANZAC PARADE (143) MAROUBRA SOUTHBOUND
2004/05,Jun,498,112548,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),WARRINGAH FWY/FALCON ST (70) NORTH SYDNEY NORTHBOUND
2004/05,Jun,162,36612,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PACIFIC HIGHWAY (154) CROWS NEST WESTBOUND
2004/05,May,210,47460,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),ANZAC PARADE (92) KENSINGTON NORTHBOUND
2004/05,Nov,170,38420,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),SYDNEY ROAD (121) BALGOWLAH EASTBOUND
2004/05,Sep,297,67122,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PACIFIC HIGHWAY (148) LINDFIELD SOUTHBOUND
2004/05,Jan,83,18758,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),KING STREET (605) WARRAWONG SOUTHBOUND
2004/05,Nov,186,42036,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),GREAT WESTERN HIGHWAY(16) PARRAMATTA WESTBOUND
2004/05,Oct,167,37742,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),CROUDACE ROAD (507) LAMBTON NORTHBOUND
2004/05,Aug,262,59212,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),SOUTH DOWLING STREET (66) SURRY HILLS NORTHBOUND
2004/05,Aug,61,13786,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PRINCES HIGHWAY (604) FIGTREE SOUTHBOUND
2004/05,Feb,94,21244,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),THE RIVER ROAD (107) REVESBY SOUTHBOUND
2004/05,Jan,273,61698,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),WOODVILLE ROAD(15) GUILDFORD NORTHBOUND
2004/05,Aug,47,10622,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),WARDELL ROAD (160) DULWICH HILL NORTHBOUND
2004/05,Nov,49,11074,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PENNANT HILLS ROAD (47) THORNLEIGH NORTHBOUND
2004/05,Apr,96,21696,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),HUME HIGHWAY (151) WARWICK FARM WESTBOUND
2004/05,May,215,48590,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),CUMBERLAND HWY (57) CANLEY HEIGHTS SOUTHBOUND
2004/05,Apr,33,7458,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),CROUDACE ROAD (507) LAMBTON NORTHBOUND
2004/05,Apr,156,35256,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PACIFIC HIGHWAY (154) CROWS NEST WESTBOUND
2004/05,Mar,176,39776,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),WARRINGAH FWY/FALCON ST (70) NORTH SYDNEY NORTHBOUND
2004/05,Mar,46,10396,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),FIVE ISLANDS RD (BRAMBLES CNR) WARRAWONG SOUTHBOUND
2004/05,Feb,149,33674,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PARKER STREET (93) PENRITH NORTHBOUND
2004/05,Aug,79,17854,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),KING GEORGES ROAD (42) BEVERLY HILLS NORTHBOUND
2004/05,Oct,235,53110,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),FAIRLIGHT STREET (137) FIVE DOCK EASTBOUND
2004/05,Aug,101,22826,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),DONALD STREET (512) HAMILTON WESTBOUND
2004/05,Sep,131,29606,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),RYDE ROAD (73) WEST PYMBLE SOUTHBOUND
2004/05,Jul,76,17176,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),GENERAL HOLMES DRIVE (41) KYEEMAGH NORTHBOUND
2004/05,Aug,220,49720,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),FOREST ROAD (91) BEXLEY SOUTHBOUND
2004/05,Jul,187,42262,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PARK ROAD (141) ALLAWAH WESTBOUND
2004/05,Jun,51,11526,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),CORRIMAL STREET (610) WOLLONGONG SOUTHBOUND
2004/05,Jan,8,1808,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),MARGARET STREET (146) SYDNEY WESTBOUND
2004/05,Nov,66,14916,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),DONALD STREET (512) HAMILTON WESTBOUND
2004/05,Mar,15,3390,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),CONDAMINE STREET (139) BALGOWLAH NORTHBOUND
2004/05,Jun,30,6780,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),BEXLEY ROAD (49) CLEMTON PARK NORTHBOUND
2004/05,Sep,128,28928,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),CASTLE HILL ROAD (72) WEST PENNANT HILLS SOUTHBOUND
2004/05,Mar,25,5650,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),RYDE ROAD (138) GLADESVILLE WESTBOUND
2004/05,Aug,41,9266,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),GENERAL HOLMES DRIVE (41) KYEEMAGH NORTHBOUND
2004/05,Apr,37,8362,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),MACQUARIE ROAD (506) CARDIFF NORTHBOUND
2005/06,Sep,239,71700,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PARKER STREET (93) PENRITH NORTHBOUND
2005/06,Sep,67,20100,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PRINCES HIGHWAY (604) FIGTREE SOUTHBOUND
2005/06,Aug,77,23100,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),MAIN ROAD (503) GLENDALE EASTBOUND
2005/06,Aug,100,30000,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),BUNGARRIBEE ROAD (153) BLACKTOWN EASTBOUND
2005/06,Aug,72,21600,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),MACQUARIE ROAD (506) CARDIFF NORTHBOUND
2005/06,Jul,82,24600,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),MAIN ROAD (503) GLENDALE EASTBOUND
2005/06,Jul,128,38400,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),HAMILTON ROAD (152) FAIRFIELD WESTBOUND
2005/06,Jul,58,17400,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),CORRIMAL STREET (601) WOLLONGONG NORTHBOUND
2005/06,Jul,84,25200,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),ERNEST STREET(158) CAMMERAY EASTBOUND
2005/06,Sep,76,22800,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),O'RIORDAN STREET (162) MASCOT SOUTHBOUND
2005/06,Sep,40,12000,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),CORRIMAL STREET (601) WOLLONGONG NORTHBOUND
2005/06,Sep,35,10500,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),INDUSTRIAL DRIVE (501) MAYFIELD WESTBOUND
2005/06,Aug,63,18900,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),O'RIORDAN STREET (162) MASCOT SOUTHBOUND
2005/06,Aug,15,4500,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),HUME HIGHWAY (151) WARWICK FARM WESTBOUND
2005/06,Jul,10,3000,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),CAREY STREET (504) TORONTO NORTHBOUND
2005/06,Jul,57,17100,Red Light Camera,NOT STOP AT RED LIGHT (CAMERA DETECTED),PARRAMATTA ROAD (79) FIVE DOCK EASTBOUND
2006/07,May,14,4312,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CANTERBURY ROAD (89) CAMPSIE WESTBOUND
2006/07,Jun,3,924,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CLIVE STREET (80) EAST ROSEVILLE NORTHBOUND
2006/07,Apr,4,1232,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CASTLE HILL ROAD (72) WEST PENNANT HILLS SOUTHBOUND
2006/07,Apr,4,1232,Red Light Camera,Not Stop At Red Light - Camera Detected - Corporation,CUMBERLAND HIGHWAY (97) SOUTH WENTWORTHVILLE SOUTHBOUND
